name,gate_name,n,initial_state_number,construction_time,simulation_time,precision,abs_error,euclid_error
rec,X^(1/8),3,6,1,2,17,0.0,0.0
rec,H,3,6,1,2,7,7.4505806e-08,9.541399e-08
rec,X,3,6,1,2,17,0.0,0.0
rec,Y,3,6,1,2,17,0.0,0.0
rec,Z,3,6,1,2,17,0.0,0.0
rec,Rx,3,6,2,3,7,5.9604645e-08,5.9604645e-08
rec,Ry,3,6,1,2,7,5.9604645e-08,5.9604645e-08
rec,Rz,3,6,1,2,7,5.9604645e-08,5.9604645e-08
rec,X^(1/2),3,7,1,2,17,0.0,0.0
rec,X^(1/4),3,7,1,1,7,5.9604645e-08,6.143906e-08
rec,X^(1/8),3,7,1,2,17,0.0,0.0
rec,H,3,7,1,2,7,7.4505806e-08,9.541399e-08
rec,X,3,7,1,1,17,0.0,0.0
rec,Y,3,7,1,2,17,0.0,0.0
rec,Z,3,7,1,2,17,0.0,0.0
rec,Rx,3,7,1,2,7,5.9604645e-08,5.9604645e-08
rec,Ry,3,7,2,2,7,5.9604645e-08,5.9604645e-08
rec,Rz,3,7,0,2,7,5.9604645e-08,5.9604645e-08
rec,X^(1/2),4,0,3,5,17,0.0,0.0
rec,X^(1/4),4,0,4,5,17,0.0,0.0
rec,X^(1/8),4,0,3,5,17,0.0,0.0
rec,H,4,0,4,5,17,0.0,0.0
rec,X,4,0,4,5,17,0.0,0.0
rec,Y,4,0,3,5,17,0.0,0.0
rec,Z,4,0,3,5,17,0.0,0.0
rec,Rx,4,0,3,5,17,0.0,0.0
rec,Ry,4,0,4,5,17,0.0,0.0
rec,Rz,4,0,3,5,17,0.0,0.0
rec,X^(1/2),4,1,4,5,17,0.0,0.0
rec,X^(1/4),4,1,3,6,17,0.0,0.0
rec,X^(1/8),4,1,3,6,17,0.0,0.0
rec,H,4,1,3,6,17,0.0,0.0
rec,X,4,1,3,5,17,0.0,0.0
rec,Y,4,1,3,6,17,0.0,0.0
rec,Z,4,1,3,5,17,0.0,0.0
rec,Rx,4,1,4,5,17,0.0,0.0
rec,Ry,4,1,4,4,17,0.0,0.0
rec,Rz,4,1,3,5,17,0.0,0.0
rec,X^(1/2),4,2,3,5,7,4.4703484e-08,4.4703484e-08
rec,X^(1/4),4,2,3,5,17,0.0,0.0
rec,X^(1/8),4,2,3,5,17,0.0,0.0
rec,H,4,2,3,5,17,0.0,0.0
rec,X,4,2,3,5,17,0.0,0.0
rec,Y,4,2,3,5,17,0.0,0.0
rec,Z,4,2,3,5,17,0.0,0.0
rec,Rx,4,2,3,5,7,5.9604645e-08,5.9604645e-08
rec,Ry,4,2,4,5,7,5.9604645e-08,5.9604645e-08
rec,Rz,4,2,4,5,7,5.9604645e-08,5.9604645e-08
rec,X^(1/2),4,3,3,6,7,4.4703484e-08,4.4703484e-08
rec,X^(1/4),4,3,3,6,17,0.0,0.0
rec,X^(1/8),4,3,3,5,17,0.0,0.0
rec,H,4,3,3,5,17,0.0,0.0
rec,X,4,3,3,6,17,0.0,0.0
rec,Y,4,3,3,5,17,0.0,0.0
rec,Z,4,3,3,5,17,0.0,0.0
rec,Rx,4,3,3,5,7,5.9604645e-08,5.9604645e-08
rec,Ry,4,3,3,5,7,5.9604645e-08,5.9604645e-08
rec,Rz,4,3,4,5,7,5.9604645e-08,5.9604645e-08
rec,X^(1/2),4,4,3,5,17,0.0,0.0
rec,X^(1/4),4,4,3,5,17,0.0,0.0
rec,X^(1/8),4,4,3,5,9,4.656613e-10,4.656613e-10
rec,H,4,4,4,6,7,5.9604645e-08,5.9604645e-08
rec,X,4,4,3,5,7,4.4703484e-08,4.4703484e-08
rec,Y,4,4,3,5,7,4.4703484e-08,4.4703484e-08
rec,Z,4,4,4,5,17,0.0,0.0
rec,Rx,4,4,3,6,16,1.1320822e-16,1.1320822e-16
rec,Ry,4,4,3,5,16,1.1320822e-16,1.1320822e-16
rec,Rz,4,4,3,6,17,0.0,0.0
rec,X^(1/2),4,5,3,5,17,0.0,0.0
rec,X^(1/4),4,5,3,5,17,0.0,0.0
rec,X^(1/8),4,5,3,5,9,4.656613e-10,4.656613e-10
rec,H,4,5,3,6,7,1.1920929e-07,1.1920929e-07
rec,X,4,5,3,6,7,4.4703484e-08,4.4703484e-08
rec,Y,4,5,4,5,7,4.4703484e-08,4.4703484e-08
rec,Z,4,5,4,6,7,5.9604645e-08,5.9604645e-08
rec,Rx,4,5,3,5,16,1.1320822e-16,1.1320822e-16
rec,Ry,4,5,3,4,16,1.1320822e-16,1.1320822e-16
rec,Rz,4,5,3,5,17,0.0,0.0
rec,X^(1/2),4,6,3,6,7,3.7252903e-08,3.7902083e-08
rec,X^(1/4),4,6,3,6,17,0.0,0.0
rec,X^(1/8),4,6,3,6,8,7.4832505e-09,7.483424e-09
rec,H,4,6,3,5,7,5.963374e-08,7.302424e-08
rec,X,4,6,3,5,7,4.4703484e-08,4.4703484e-08
rec,Y,4,6,3,5,7,4.4703484e-08,4.4703484e-08
rec,Z,4,6,3,5,17,0.0,0.0
rec,Rx,4,6,3,6,7,5.9604645e-08,5.9604645e-08
rec,Ry,4,6,4,6,7,5.9604645e-08,5.9604645e-08
rec,Rz,4,6,4,6,7,8.4293696e-08,8.4293696e-08
rec,X^(1/2),4,7,3,5,7,3.7252903e-08,3.7902083e-08
rec,X^(1/4),4,7,3,5,17,0.0,0.0
rec,X^(1/8),4,7,4,5,8,7.4832505e-09,7.483424e-09
rec,H,4,7,4,5,7,1.1957253e-07,1.2678308e-07
rec,X,4,7,3,6,7,4.4703484e-08,4.4703484e-08
rec,Y,4,7,3,6,7,4.4703484e-08,4.4703484e-08
rec,Z,4,7,3,5,7,5.9604645e-08,5.9604645e-08
rec,Rx,4,7,3,5,7,5.9604645e-08,5.9604645e-08
rec,Ry,4,7,3,6,7,5.9604645e-08,5.9604645e-08
rec,Rz,4,7,3,5,7,8.4293696e-08,8.4293696e-08
rec,X^(1/2),4,8,3,6,17,0.0,0.0
rec,X^(1/4),4,8,4,5,17,0.0,0.0
rec,X^(1/8),4,8,3,5,9,4.656613e-10,4.656613e-10
rec,H,4,8,3,6,7,5.9604645e-08,5.9604645e-08
rec,X,4,8,3,5,7,4.4703484e-08,4.4703484e-08
rec,Y,4,8,3,5,7,4.4703484e-08,4.4703484e-08
rec,Z,4,8,3,5,17,0.0,0.0
rec,Rx,4,8,4,5,16,1.1320822e-16,1.1320822e-16
rec,Ry,4,8,3,5,16,1.1320822e-16,1.1320822e-16
rec,Rz,4,8,4,5,17,0.0,0.0
rec,X^(1/2),4,9,4,5,17,0.0,0.0
rec,X^(1/4),4,9,3,5,17,0.0,0.0
rec,X^(1/8),4,9,4,5,9,4.656613e-10,4.656613e-10
rec,H,4,9,3,5,7,1.1920929e-07,1.1920929e-07
rec,X,4,9,4,5,7,4.4703484e-08,4.4703484e-08
rec,Y,4,9,3,5,7,4.4703484e-08,4.4703484e-08
rec,Z,4,9,3,5,7,5.9604645e-08,5.9604645e-08
rec,Rx,4,9,4,5,16,1.1320822e-16,1.1320822e-16
rec,Ry,4,9,4,6,16,1.1320822e-16,1.1320822e-16
rec,Rz,4,9,3,6,17,0.0,0.0
rec,X^(1/2),4,10,4,5,7,3.7252903e-08,3.7902083e-08
rec,X^(1/4),4,10,3,6,17,0.0,0.0
rec,X^(1/8),4,10,3,5,8,7.465118e-09,7.465246e-09
rec,H,4,10,3,5,7,5.963374e-08,7.302424e-08
rec,X,4,10,4,6,7,4.4703484e-08,4.4703484e-08
rec,Y,4,10,4,6,7,4.4703484e-08,4.4703484e-08
rec,Z,4,10,4,6,17,0.0,0.0
rec,Rx,4,10,4,6,7,5.9604645e-08,5.9604645e-08
rec,Ry,4,10,4,5,7,5.9604645e-08,5.9604645e-08
rec,Rz,4,10,3,5,7,8.4293696e-08,8.4293696e-08
rec,X^(1/2),4,11,4,5,7,3.7252903e-08,3.7902083e-08
rec,X^(1/4),4,11,3,5,17,0.0,0.0
rec,X^(1/8),4,11,4,6,8,7.465118e-09,7.465246e-09
rec,H,4,11,3,6,7,4.2146848e-08,4.2311164e-08
rec,X,4,11,3,5,7,4.4703484e-08,4.4703484e-08
rec,Y,4,11,3,6,7,4.4703484e-08,4.4703484e-08
rec,Z,4,11,3,6,7,5.9604645e-08,5.9604645e-08
rec,Rx,4,11,3,5,7,5.9604645e-08,5.9604645e-08
rec,Ry,4,11,3,5,7,5.9604645e-08,5.9604645e-08
rec,Rz,4,11,4,5,7,8.4293696e-08,8.4293696e-08
rec,X^(1/2),4,12,4,6,7,1.5359765e-08,1.5423163e-08
rec,X^(1/4),4,12,4,5,7,2.2351742e-08,2.3579204e-08
rec,X^(1/8),4,12,4,5,8,1.4901161e-08,1.536153e-08
rec,H,4,12,3,5,7,7.0288635e-08,7.337971e-08
rec,X,4,12,3,5,7,4.7706994e-08,4.785222e-08
rec,Y,4,12,3,6,7,4.7706994e-08,4.785222e-08
rec,Z,4,12,3,5,17,0.0,0.0
